# Every entry in the four CV copies ADR-003 merged, as extracted by
# scripts/python/check_cv_sources.py.  Regenerate with `make cv-inventory`;
# `make cv-check` fails when this file and the copies disagree.
#
# Committed so that what the checker reads is reviewable in a diff, and so
# that an extractor which breaks and finds nothing fails a check instead of
# reporting a clean run over an empty list.  Do not edit by hand.
#
# id	section	text
cvrepo:contact-information:williamdemeo-org	Contact Information	[williamdemeo.org](http://williamdemeo.org)\
cvrepo:contact-information:williamdemeo-gmail-com	Contact Information	<williamdemeo@gmail.com>
cvrepo:research-interests:computational-complexity-type-theory-artific	Research Interests	Computational complexity, type theory, artificial intelligence (dsLLM, RAG, Scala/Spark, PyTorch).\
cvrepo:research-interests:computer-aided-mathematics-itp-in-agda-and-l	Research Interests	Computer-aided mathematics (ITP in Agda and Lean); formal methods for blockchain research.
cvrepo:education:doctor-of-philosophy-in-mathematics-universi	Education	**Doctor of Philosophy in Mathematics** [University of Hawaii](https://math.hawaii.edu/wordpress/), Honolulu, May 2012\
cvrepo:education:thesis-congruence-lattices-of-finite-algebra	Education	*Thesis:* [Congruence lattices of finite algebras](https://arxiv.org/abs/1204.4305) *Advisor:* [Ralph Freese](http://math.hawaii.edu/~ralph/)
cvrepo:education:master-of-science-in-mathematics-courant-ins	Education	**Master of Science in Mathematics** [Courant Institute of Mathematical Sciences, NYU](https://cims.nyu.edu/), New York
cvrepo:education:thesis-approximating-eigenvalues-of-large-st	Education	*Thesis:* [Approximating eigenvalues of large stochastic matrices](https://williamdemeo.github.io/MSThesis/) *Advisor:* [Jonathan Goodman](https://www.math.nyu.edu/faculty/goodman/index.html)
cvrepo:education:bachelor-of-arts-in-economics-university-of	Education	**Bachelor of Arts in Economics** [University of Virginia](https://www.virginia.edu/), Charlottesville
cvrepo:employment-history:formal-verification-engineer-formal-methods	Employment History	**Formal Verification Engineer** Formal Methods Team, [IOHK](https://iohk.io/), Boulder 2023--present\
cvrepo:employment-history:formal-verification-of-the-cardano-blockchai	Employment History	*Formal verification of the [Cardano blockchain ledger specification](https://github.com/input-output-hk/formal-ledger-specifications) in Agda.* (2 years)
cvrepo:employment-history:senior-university-lecturer-computer-sci-dept	Employment History	**Senior University Lecturer** [Computer Sci Dept, New Jersey Inst of Tech,](https://cs.njit.edu/) Newark 2022--2023\
cvrepo:employment-history:taught-courses-in-foundations-of-computing-b	Employment History	*Taught courses in [foundations of computing](https://github.com/williamdemeo/cs241-spring2022), [big data](https://github.com/williamdemeo/ds644-spring2023), and [artificial intelligence](https://github.com/williamdemeo/cs370-fall2022)*. (18 months)
cvrepo:employment-history:software-engineer-library-team-relationalai	Employment History	**Software Engineer** [Library Team, RelationalAI](https://relational.ai/), New York 2022--2023\
cvrepo:employment-history:developed-standard-library-of-the-rel-declar	Employment History	*Developed [Standard Library](https://docs.relational.ai/rel/ref/lib/stdlib) of the [Rel declarative programming language](https://docs.relational.ai/rel/intro/overview).* (9 months)
cvrepo:employment-history:postdoctoral-research-fellow-algebra-dept-ch	Employment History	**Postdoctoral Research Fellow** [Algebra Dept, Charles University](https://ka.karlin.mff.cuni.cz/), Prague 2019--2021
cvrepo:employment-history:burnett-meyer-instructor-mathematics-dept-un	Employment History	**Burnett Meyer Instructor** [Mathematics Dept, University of Colorado](https://www.colorado.edu/math/), Boulder 2017--2019
cvrepo:employment-history:visiting-assistant-professor-mathematics-dep	Employment History	**Visiting Assistant Professor** [Mathematics Dept, University of Hawaii](https://math.hawaii.edu/wordpress/), Honolulu 2016--2017
